clean_text,sentiment
eylül sonrasi sigortası olanların sorununda cozmenizi bekliyoruz,Positive
sizi muhalefet sanmıştık ama yanılmışız hızlanıyor mu,Negative
sayın bakan altı aydan fazla süredir göz muayenesi randevusu alamıyorum allah rızası için birazda bu işlere el atın her tweetim sonrası görevliler arıyor bakıyor hımm gerçekten yokmuş diyor beni kimse aramasın ben randevu istiyorum yeter artık,Negative
herkez bayramı kutlu olsun allah tekrarını göstersin,Positive
enam suresi ayet de ki şüphesiz benim namazım ibadetlerim dirimim ve ölümüm alemlerin rabbi olan allahındır,Neutral
terörist sevici tebrik ederim kilise papazı ile yaptığınız görüşme için,Negative
bedelli çıkmalı yaş olmamalı binlira peşin olsun uzun dönemli askere asgari ücret verilsin,Neutral
savunma bakanlığı bike bunu yapıyorsa vay haline gelip kırpsanıza hadi atatürke olan sevgimizi de yüreğimizden,Negative
izmir bornova ağız diş çene cerrahisi randevu alamıyorum aylar oldu,Negative
liler ve ekibi yenilginin nedenlerini araştırıyor,Neutral
şu parti içindeki fetöcüler ve fetönün futbol ayağını temizleyin reis sana güveniyoruz bunlar akrep çiyan gibi etrafında sen yorulma sen savaş biz seni destekleriz,Positive
ziktiyimin trolleri yine şaşırtmadı,Negative
türk silahli kuvvetleri,Neutral
sivas ın manda ve himayeden haberi var mı ondan şüpheliyim,Negative
maşallah nazar değmesin,Positive
kisirlaştirma ile bu sorun çözüme ulaşilabilir ama bu toplamalar fayda sağlamayacaktir,Negative
bu görseli sadece havancılar anlar,Neutral
ve bu tarihi anları televizyonlarımız yayınlamadı sanırım,Neutral
sizde amerikada gereğini yaptiniz başkanim,Positive
cumhur baskanim mubarek aylar icindeyiz havalar isiniyo onlar daracik odalarda ltf ikinci bir sans,Positive
reisim allah sağlık sıhat versin gurban olduğum,Positive
havalar soğudu sınıfta pencereler kapatılacak ders saati süresi dk olmali tenefus uzatılmali okulumuz dk yaptı fakat bir gün uygaladi ertesi gün dk oldu yine nasıl bı insiyatif anlamadım,Negative
önceki seçimleri tekrar saydirin muharrem ince kazanmişti çünkü,Positive
yahu nerde bu beş bin kim bunlar ne kadar ülkücü olduğunu söyleyenle tanistiysam tayyip kendi gitsin diyor,Negative
sayın genel başkanım lütfen semih ve nuriyeye yardım edin lütfen onlar ölüyorlar,Positive
mazlummasum garipçok insanvar,Neutral
suc duyurusudurtürkiye cumhuriyeti devleti mahkemeleri,Negative
yanlız çok ozel manidar bir gecede ordalar bu gece istiklal caddesi şehitlerinin si rahat uyu hesap zamanı,Neutral
engelliler ulaşım sorunlar dm,Neutral
bin aile nisanda bin öğretmen ataması müjdesini duymak istiyor basbakanimzdan,Positive
akıllı ol adam ol,Negative
tüm halkımız vatanımız için haydi hep birlikte kampanyasını başlatalım günde saat iki saat devletimiz için calişalim,Positive
cumhurbaşkanını cnn de görmeyi istemezdim,Negative
sayın istifanızı kabul etmiyoruz,Negative
bu kadar başarısiz bir genel başkan olup itibar görmek de kara komedi gibi bir şey belediye seçimlerinde kaybettiğinde chpyi dolandırmaktan yargilanmali kesinlikle bedelini odemeli sadece istifa ederek kurtulamazsin,Negative
reis seni sevmiyen anca hain dir allah senin yolunu açsin inşallah izindeyiz daimaanti erdoğan cilar yaylanin hadi hadi hadi,Positive
ben göremedim atatürkün resmini,Neutral
seçimde seni ek miş bitirmiş sen o koltuğa yapıştın sen oy değil kasetle gelen bir başka sın oy senin için geçerli değil sen daha nerede oy atacağını bilmeyen birisin boş boş konuşma kemoşşii,Negative
siz daha nice eserlere imza atarsınız inşallah,Positive
ve aleyküm selam reis hoşgeldin,Positive
sayin başkanim belediye taşeron işçileri kadro hakkimizi istiyoruz saygilarimla,Positive
chp satır yazar terörü destekler ip sayfa yazar terörü destekler tek farkınız diye devam etmek isterdim cümleye ama farkınız yok,Negative
süriyelilerin ülkede fing atıp kendi evlatlarımızın öldüğü zenginin hayat sürdüğü fakirin hergün kahroldum yer gelde içme,Negative
inşaallah seçimden sonra sen partinin başında durursan tozlu raflarda yer bulamayacaksı,Negative
hangi kadinlara sesleniyorasun edepsiz daha dun uzerinden tsortunu cikarmasini istedigin ve medyanin ve insanlarin onunde yari ciplak soydugun kadinlarami sesleniyosun o kadinin kocasi coluk cocugundan utanmadinzmi siz ne kadar edepsizsinizki,Negative
çalaşkanlarmış güldürmeyin len bizi hırsızlar bu ülekeye yıldır bir çivi çakmadınız şimdi erdoğanın yaptıklarını sizmi eleştireceksiniz olum sizin eleştirmeye konuşmaya dahi hakkınız yok siz kimsiniz,Negative
biz tayyiiip karşıtiyiz akp lilerede karşıyız ben akp ile yol yürüyen mhp ye de oy vermem siz ben olamazsınız ben siz olamam dunekadar akp hükümeti yönetemiyor dönemdir millet olarak ezildim kendi partimiz tek başına seçime gitsin ölümüne yanındayız,Negative
evet çok sağduyuluyuz şükür seni iktidara getirmediğimizden anladın herhalde,Negative
kürtleri katillerinin eline bırakmışsınız kalkıp hala siyasetten bahsediyorsunuz emperyalizmin uşakları ter köp ek ler,Negative
emekliyim ve sonda takılarak hayatimi devam ettiriyorum receteme bugün ödediğim fark tl siz olsanız nasıl iyi yaşam planlarınız saygılar,Negative
çocuklarımızın bizden başka geçim sağlayacak kimseleri yok biz işimizi kaybedersek onlar her şeyi kaybederler,Negative
şkanım bir an evvel bu sakat bu düşman nefret dolu kinlilerden kurtulup yerli milli muhalefet oluşturulmalıne kadar çete yönetim varsa hepsi tutuklanmalı bu çetelerle yürünmez çok zarar veriyorlar,Negative
başka nerelere para dağıtmayı düşünüyon sn kk oğlu baban kesesinden böylebir harcamamı yapıyor sun sn kk herkes harcadığını ödemeli devlete kimseyük olmamalı bunlar ekonominin bitmesini istiyorlar kimseyi düşündüğünden değil lbd lerinden kime yardım etmis bu kk oğlu,Negative
daha bir ağaca sahip çıkamıyorsunuz size nasıl devlet teslim edilir,Negative
hattıma kod gelmedi eczaneye gittim tc numaram ve telefon numaramla maske almak istedim kod oluşturulamadı kendi diktiğim maskeyle gittiğim için de alınmadım peki ben ne yapayım bi de size sorayım dedim benim aklım yetmedi zira,Negative
gözümüz asdep in ününde değil sayın bakanım gözümüz kulagımiz senedir mağdur edilen sydv lere vereceğiniz artık benim ailem de siz de varsınız müjdeli haberinde,Positive
sayin bakanim kahvehaneler açilacak yerler içinde en tehlikelisi okey taşlari domino taşlari oyun kagitlari tavla pullari zari bunlara gün boyu her kahve müdaviminin eli degecek bunu bir daha ele alin acizane her oyun sonrasi eglence taşlari steril olmayacak,Neutral
mekanın cennet olsun ülkücü şehidim,Positive
zerre samimi değilsiniz zerreüzerinizde şehitlerimizin vebali var,Negative
benim özel çocuğum var başkasın yanında kalıyoruz yardima ihtiyacım var,Neutral
sayın cumhurbaşkanım b tabi çalışan sözleşmeli tüm personel kadro istiyor,Neutral
d li personellerin hizmet zammı fiili değilde gün üzerinden hesaplanıp ödenmesini istiyoruz,Neutral
metni hükümetin diyanet işlerinden mi aldınızyanarim yanarım da muhalefet partisinin basında olmadığıma yanarımo zaman ana muhalefet partisi nasıl açıklama yapar görürdünuzıklar olsun size,Negative
peki görevini kötüye kullanan savcı bey de uzlaştırma ister mi acaba,Negative
cok haklisiniz simdikilerde vatani nasil satariz diye ugrasiyorlar,Negative
su secim arabalarını gezdirme bari bugun baskan,Neutral
reis kim dost kim düşman belli deği dili bölümleri hakli olarak ne acun,Negative
ülkenin adını da isengard olarak değiştirelim tam olsun,Negative
avrupalı huzur içinde yaşasın diye türk milletinin huzurunu bozdunuz türk tarihinin gördüğü en lanet örgütsünüz,Negative
aile birliğimiz için il emri bekliyoruz,Neutral
bahçeli kandilin peşine takılanların fetönün dümen suyuna girenlerin hdpyle ortaklık planı yapanların milletin yani cumhurun ittifakından rahatsız olması iblisin sevaptan rahatsız olması kadar normaldir,Negative
ben turizmciyim almanlara uyarilarda buluyorsun nah sana oy veririm artik,Negative
allahınızı severseniz verin sevdiklerimizi af istiyoruz sizinde cocugunuz var anlarsınız sayın basbakanim gariplerin yüzünü güldürun artık,Neutral
günlük eğitimin kaldırılması ailelerin geleceği açısındandaha faydalı olacaktır,Neutral
akp zihniyeti covid virüsü misali bütün insanlığın bir araya gelip buna karşı mücadele etmesi lazım yoksa memleketi kurutacaklar,Negative
sandık başkanı kamu görevlisi olmadığı için sonuçları iptal edilen sandıklarda partiniz oy farkla önde bulunuyor yani akp sonuçları itibariyle önde olduğu sandıklara itiraz etmiş bulunuyor bunu da bi açıklayın ya merak ettim vatandaş olarak,Neutral
selam benim aynı anda hem kalp hemde akciğer nakli olmam gerekiyor ama bu türkiye de yapılmıyormuş bunun için bana yardım edin,Neutral
libyada suriyede kaybettiğimiz evlatlarımıza tören yapmıyorsunuz şehitliğe getirip arkadan atıp gidiyorsunuz birkaç şehit diyip küçümsüyorsunuz ülke onuru şehitlerine gösterdiği saygı ile ölçülür bırakın şehitlerimizi törenle defnedelim en azından bu kadar korkmayın tepkiden,Negative
asbp sosyal calismaci ata,Neutral
selam,Neutral
amerikan fox tv anlamayan varmı,Neutral
soz namustur,Neutral
böş ver istirahat et artik,Neutral
biz sizden hiçbir zaman şüphe kadar sizinleyiz,Positive
hero of the truth go ahead allah yansarek,Neutral
tek kelimeyle önce vatan,Positive
cumur başkanım tablet dağatacaz dediniz tablet dağıtmadınız okulum bursa inegöl gazi osman başa ilköğretim okulu,Neutral
dedem çok hızlı acele et adayınız belli olsunçok zaman harcadınız,Neutral
bu kadar ucuz siyaset ancak sizde nin bitişidir buşehit ve gaziler üzerinden polimik yaratmak siz bir kere temmuz kalkışması diyerek safınızı belli ettiniz sonrada gazi şehit diyerek üstemi çıkacağınızı zannediyorsunuzşehitleri ve gazileri ağzınıza almayın,Negative
tebrikler ediyiruz dev devlet erkani devlet büyüklerimizikesinti siz ve tavizsiz ulvi şevk ve gayretlerle çalişma ve icraatlarini nadanlararica etmek istiyorum aldirmasin lar dünyaimtihan dün yasi olduğu içinher top lumdaaz ve çok nadan hainvesaire mevcutmalum,Neutral
yağma kanalı,Negative
reis fetöcülere fetöyle resmi olanlara oy vermeyin diyorsun bunlara oy vermiyoruz değil mi,Negative
hadiii yaaaaa onun icin mi sanat a dusmansin diktator bozuntusu lavuk,Negative
millet kafayı yedi hadi,Negative
ak partiliydim diyorum üzülerek,Negative
bayram öncesi öğretmene,Neutral
tbmmnin iradesi ve anayasa ayaklar altına alınırken seçilen milletvekillerinin hakları gasp edilirken sessiz kalan demokrasi anlayışınızı sevsinler,Negative
dün bugün ve daima yanındayız başkanim,Positive
başbuğ yaşasaydı türkçülük bölücülük diyene ne derdi arkasında yürüyen şahsında oğlununda gıkı çıkmıyor kemiklerini sızlattınız,Negative
adamın hasi,Positive
sudii arabistan nekadar borç verdi,Neutral
diyarbakır için de aynı kararı bekliyoruz,Neutral
allah sizin gibi yiğitlere uzanacak şer elleri kırsın yolunuzu açık eylesin inşaallah,Positive
işsiz kalan tarım danışmanlari,Negative
siz şu içine düşmüş olduğunuz yalan buhranindan bir çıkın hele bakalim,Negative
bu serefsize inanan gerizekali akli dengesi bozuk kisilerdir maalasef buda türkiyede cok öncr sskya bakkk,Negative
bakanlığı yerli ve milli yazılım olan biyometrik veri sistemi bu yıl aktif hale getiriliyor,Neutral
sizin pısırık sinik korkak ve savunmacı sağ politikalarınızın da bunda payı var,Negative
eyt bu ulkenin kanayan yarasi,Negative
ne yaşanıyor ailesiz türkiyede cezaevleri ağır cezalarlaişkence ab ye falan almazlar çok beklersiniz,Negative
cumhuriyet tarihinin en büyük atamasını bin atamayı seçim öncesi duyuracaksınız değil mi,Neutral
bu saçma komik ucuz lafınıza çocuklar dahi çler geçmişine baksana haline acır,Negative
bekliyor,Neutral
sanatçılardanda çok fetöcü var bu ülkede meclistede siyasettede bu fetö bağlantısı olan herkes kim olursa olsun tutuklanmalıdır ülke ancak bu şekilde hızur bulur temizlenmelidir,Negative
sahaya çıkın sahaya chp metro çıkışlarına sabahın sinde dikilip broşür dağıtıyor size ne diyor ulaşmadık kimse kalmayacak istanbul teşkilatı sınıfta kalıyor bizden soylemesi,Negative
acil göreve çağiriyoruz türkiye kamu taşeron işçileri,Neutral
insan hakkı mı siz insan hakkına önem verseydinjz eger ek atama yaparsınız yillik emeklerin hakkina lutfen haktan bhasetmeyin siz insan hakkın emege değer destek vermiyorsunuz,Negative
ya dahil edilmelidir bizler bakanlığımızda ekders adı altında tam zamanlı ve tüm yıl boyunca çalışmaktayıçbir özlük hakkına sahip değ yasadaki net beklentimiz özlük haklarımıza kavuşmaktır,Negative
iki haftadır arabalarda yatıp kalkıyoruz dakikada bir sallanıyoruz çadırkentlarde şu yok elektrik yok insanlar duvalet ihtiyaç gideremiyorlar sen konuttan bas hane başına bile veremedin hasarlı hasarsız diye ayrım yaptın sokaklarda ayrım yok,Negative
bay kemal ı görünce beni biii aağarlık çöküüveeyoooo,Negative
at gözlükleriyle bakmayanlar keşke milletin derdinin ne olduğunu görebilseler,Negative
spora ve sporcuya ne zaman sahip çıkacaksın,Negative
istanbul polonezköy yürüyüş parkur alanında yeni gördüğüm bu atla gezinti nedir bikac kişi getirmiş at insan gezdiriyor hem de toprak yürüyüş izin aldılarnasil izin verildialanda tane güvenlik bile yakınlar,Negative
ne olur artık çıksın su ceza indirimi umitlerimizin kirilmasindan yorulduk,Negative
reklamın kötüsü olmaz en kötü reklam bile reklamdirtürkiye den dünyanın gündemini değiştirecek haberler servis ıyi yönetin lobi yapınislam ulkelerinin dostlarımızınyanımızda olduğunu gözlerine sokun abd nin kara propagandasi ni cokertin,Neutral
benim anlamadığım programda salı perşembe de canlı yayınlar var eba tv sınıfların dersi de de başlıyor biz canlı yayın ve tv ikisini nsıl beraber işlicez,Negative
iran arıza nedeniyle enerjiyi kesmiş eren erdemi gönderin de açsınlar,Neutral
nin son durumu ile ilgili bir açıklama yapacak mısınız,Neutral
yeni nesil ihracat desteği eğitimine başvuru yapmaya çalışıyorum site açılmiyor bir önceki egitimde tum kontenjan dolmustu lütfen sitenizle ilgilenir misiniz başvuru yapamıyorum,Neutral
hedef,Positive
herkes cumhurbaşkanımızın ağzından çıkacak müjdeyi bekliyor,Positive
sesimizi duy halkını dinle,Neutral
sayın kılıçdaroğlu gerçekçi değilsiniz ekrem bey taksi esnafın plakalarında giz dikmiş bundan sonra size asla guvenmem,Negative
teröristle görüşüyordu diye yaygara koparan ve cemaat avanelerine bakın,Negative
hey maşallah allah askerimize güç kuvvet her zaman şan ve şereflerle mutlu türküm diyene,Positive
atanmak istiyoruz,Neutral
eyt hakkımızı istiyoruz iş yerimiz kapandı yaş olunca kimse iş vermiyor tek umudumuz eyt kaldı bu sorunu biran önce çözün eyt,Negative
açıklamalarına göre günlük karşılaştırılabilir resmî verileri comparable daily figures of as per the official declarations of minister of health,Neutral
sayın bakanım hbys çalışanlarını kadroya alınmasını sayın jülide hanımın verdiği müjdeyi yayınlamanizi sabırsızlıkla bekliyoruz,Positive
huzur güven gurur allah başımızdan eksik etmesin,Positive
belediyeler başkanlık devletin başı iki başlılık köyde ilde dahi iki başlılık yok chp yi anlamak zor,Negative
mhp bu kadroyla ilçe bile yönetemez rahmetli başbğumuz üç vekil ile hükümet ortağiydi,Negative
syn cumhurbaşkani na adı yada soyadı ile hitap edip baro başkanına sayın diye başlamak valla bu yorumlar bence size ve partinize birşey kazandırmaz aksine her zaman olduğu gibi kaybettirir,Negative
o belgeyi izmirli chplilere gönder eylemlerine merkezden de bi katkınız olsun,Positive
evet sadece dinlefiniz teşekkürler,Neutral
bu adamda chpye genel müdür olduya kendimi çok ezik hissediyorum kemale birgün sen chp genmüdürü olaçaksın deselerdi o an gülmek için hangi organını kullanacağını şaşırırdı herhalde chpde bu kadarmı adam kıtlığı yaşandıki kemal sana kadar düştü genmüdürlük,Negative
msb malatya inşaat emlak bölge başkanlığı tüm askeri binaların kontrolünü yaptı mı,Neutral
hdp ye ne sözü verildi açıklasın kemal bey,Negative
pcr testini istemiyoruz,Negative
adamlar bizimle egeaydaak konularını görüşmek tartışmak bile istemiyor biz ise adalar denizi doğu akdenizher türlü meseleyi görüşmeye hazırız diyoruz adalara lozan ve paris anlaşmasına aykırı olarak asker uçak ve ağır silah gönderiyor biz ise izlemekle yetiniyoruz,Negative
seçimleri için oyuna başladılar bunlara bir çift sözünüz olacaktır herhalde,Negative
eski bakan hem uzmanlikta sürenin yıla düşeceğini hem de yılını geçen ve uzmanlığını almış olanlarin yıl beklemeden başöğretmenliğine başvuru yapacağını hatta çalışmaların bittiğini söylemiş ordu milletvekili olan mahmut özer bekliyoruz,Neutral
vatanımıza hayırlı bereketli olsun,Positive
güzel izmire hoşgeldin güzel insan,Positive
nun kusuruna bakmayın yaşı baya ilerlemiş ne dediğini bilmiyor mitomani hastalığı baya ilerlemiş ne dediğini bilmiyor gariban,Negative
chp içindeki kopan fırtınalar fikir özgürlüğü ak parti içindeki ufak söylemler yada tartışmalar diktatöre baş kaldırdılarolyr,Neutral
mız sayın ile konuğu olduğumuz nun ezgiler konseri gecesinde bir araya geldik aydınhataybitlis temsilci gençleri olarakta kısa bir sohbet gerçekleştirdik,Neutral
reis devletime verdigim hizmet bitmistir,Negative
hizmetleriniz bile millete sene borç koyun sende ödüyorsun hizmet değil vatana ihanet şerefsizler,Negative
sayın bakan hem adaletli olmalıyız deyip hem de karma alım yapmanıza gerçekten anlam vermek zor ücretli sistemiyle eğitimde kaliteyi arttırcaz demenize de aynı şekilde sonucu belli oyunu oynayacaksınız,Negative
madara olduğun yetmedi mi ke mal,Negative
bir bakarmısınız rica etsem,Neutral
yetmedi mi bakan bey,Negative
son yılda harita ve kadastro teknikerlerine sadece son yılda ise sadece kadro açan enerji ve tabii kaynaklar bakanlığından atama istiyoruz,Neutral
bu izinsiz sms ve arama sikayetleri icin edevlet uzerinden actigimiz kayitlara bakan yok mu artik,Negative
okullarda her sinifta öğrenci var pandemi nedeniyle gecen yil okula baslamasi gereken cocuklar bu sene basladi ayrica cogu okul kapali tadilat bahanesiyle yeni cezaevleri yapacaginiza okul yapsaniz ne olur cocuklarimiz kalabalik siniflar yuzunden vurusten kiriliyor,Negative
dünyanın fakir ama demokratik ülkesi,Neutral
ordumuz milletimizle daha güçlü olması için çalışanlara binlerce teşekkür,Positive
torununa yaptigin sigortadan bahsediyorsun sanirsam,Negative
bursa doğanevler ını mağdur ettiğiniz yeter artık kaybettiğiniz oyların haddi hesabı ın başkanıma hangi yalanlarla hesap yı kaybediyorsunuz,Negative
yok bir birinizden farkınız,Negative
vatandaş olarak ben umitsizim,Negative
iliçiözre ilçeemri bu adaletsizlik çok zorumuza ı ilde parçalanmış birliği istiyoruz sesimizi duyun lütfen liçiözürgrubumagdur,Negative
izindeyiz yolundayiz,Positive
mimarlari duyun,Neutral
kaldıralım engelleri hepberaber,Positive
tele ile vakit kaybetmeyin başınızı ellerinizin arasına alın ve chp neden seçim kazanamıyor diye düşünün sana ne tele den,Negative
evet elektiriğe gelen luk indirim daha yılbaşı gelmeden ile geri döndü üstüne birde bir gün bile geçirmeyen aras elektrik faturaları günlük yazmış,Negative
sayin cumhurbaşkanimizin dikkatine doktorlar mağdur denklik sorunu çözülmeli artik doktor açiği çok,Negative
bravo,Positive
iblis dindar sözlerle ayartırallah ile kandırır ta kionlar iblise uyup onun sözünü dinledikleri için cehennemden kovulurlar,Negative
devlet milletinin yanında,Positive
nü bizde unutmayacağız,Negative
reisim bundan sonraki süreçte size yapılabilecek en büyükkumpasentrikadarbeekonomikolarak yapılacak olan operasyondurkülliyedeki ekonomi kurulundakilere politika ve çözüm üretmeyeceklerse boşuna ekmek yedirip o makamları işgal etmelerine müsaade etmeyin,Negative
vekil imamlar olarak kadro istiyoruz,Neutral
bu tabloyu artık yaşında çocuk hazırlıyor sen ne dersen o oluyor çünkü senin dışında profesör osmanlı padişahı kadir mışmışoğlu onlarda kalmadı artık her yerde sen varsın sen çok mutlusun izleyip görüyoruz ben halk olarak mutsuzum olmayacak olanı direttiğin için,Negative
akp nin koltuk değneği ülkenin bu halinin baş sorumlusu bir oluşumdan başka birşey değilsiniz artık enver paşa gibi birinden son bahsedecek zümre sizsiniz,Negative
web için bildirim özelliği yok trendyolda tezgah dönüyor resmen,Negative
kamu çalışanı kiralık araç şoförlerinın durumu ne olacak bizim de hakkımız diğer kadro alan arkadaşlarımız gibi kadrolu olmak,Neutral
sorununu çözün haziran secimlerinde sizinle olacaktır milyon mağdur,Neutral
senin yüzünden çekiyoruz şu akp yi sen olmasan karşıda milletin oy verecegi bir adam olsaydi örn mansur yavaş ilk turda tayyip gidecekti ama sen gördüğüm en büyük akp lisin rezil defol artık sayende cumhuriyet bitti yeni kurucu tayyiban imparatorluğu devleti tayyip oldu,Negative
allah yar ve yardımcın olsun güzel insan,Positive
bir el atın yeterli bütçe bulunmuş,Positive
senin önüne verdikleri sayfaları okumaktan hangisinin doğru hangisinin algı hangisinin yanlış olduğunu bilmeden okuyorsun çıkan sonuçta komik duruma düşüyorsun kemal,Negative
dogru sarayda yapiyor kosk gibi kohne yerde yaparmi,Negative
bütçedenbin dorttebirisinifin biz onlara onlar bize istiyoruz,Neutral
yüregimiz mührümüzdür vurulmuşsa canimizdadir,Positive
hakkimizi verin sayin cumhurbaş bu yaptiklarinizi görüyor şüphesiz o çok sabirlidir,Negative
baykal siz cumhuriyeti ilkelerini ve değerlerini cehalete ve karanlığa terk ettiniz mühürsüz oyları ve gayrimeşrulukları hazmeden ve hepimizin üzerine yığan muhalefet muhalefetsizsiniz,Negative
ülke yangın yeri onun derdi başkanlık zenginşahit,Negative
siz önce şu pisliğinizi açıklayın pınar gültekinin babası cnn türke konuştu beni arayarak davadan vazgeç diyen chpli milletvekilini chp parti yönetimine ilettim,Negative
